$Version=1
$FileExt=.rx2
$RootPath=Data\Patches\Packs\Loops\
$FilePath=Data\Patches\Packs\Loops\
$Alternative=SliceX|Fruity Slicer
$Caption=Loops
$Format=112


;CDName|SubDirName|ItemName|Count|FileSize|ProductCode|Flags|WebLink|MainItemName
LoopMaster Airwave Triloops|125bpm(2)|AW_125_SambaChoucroute_1|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_SambaChoucroute_2|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_SambaChoucroute_3|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_SambaChoucroute_4|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_SyncMad_1|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_Tekkie|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_ZapLap_2|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|126 to 128bpm|AW_126_ILuvProgTech_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_126_Mangler_1A|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_127_PhatHouse_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_505Rules_1A|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_505Rules_1B|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_505Rules_1C|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_505Rules_1D|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_505Rules_1E|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_505Rules_1F|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_BreaksOnMTV_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_DecadentShuffle_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_DNBGalore_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_ElekProg_2|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_GimmeABreakBeat_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_GrooveProgger_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_HiHatzMoves_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_Houzaza_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_JourneyInProg_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_MegaHouse_1B|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_MegaHouse_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_MiniProg_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|Free|AW_128_MiniProg_2_free|11|5681|82201|1||Free
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_MiniProg_2|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_NebulaTrance|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_ProgBasic_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_ProgFilter_4|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_ProgViagra_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_ProgYoshi_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_ProgYoshi_2|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_ProgYoshi_3|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_ProgYoshi_4|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_StraightFunker_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_StraightFunker_2|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_StraightJunkie_1A|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_StraightJunkie_2|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_TechnoBreak_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|Free|AW_128_TempForNNXT_free|11|5681|82201|1||Free
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_TempForNNXT|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_Toshi_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_TrippyProg_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_WestWorldian_1|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|126 to 128bpm|AW_128_Yoshi_3B|41|16101|82201|1||126 to 128bpm
LoopMaster Airwave Triloops|130bpm(1)|AW_130_AppleLoop_11|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_AppleLoop_1|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_BBEStyle_1|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_CalmBeat_1|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_DancingHats_1|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_DistHouse_1|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_ElectroProg_1|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_Gentechno_1|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_Gentechno_2|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_GrainedChord_1|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_HardProg_1|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_HardProg_4|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_HoojReturns_1|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_HoojRevival_1A|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_HoojRevival_1B|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_HoojRevival_1C|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_HoojRevival_1D|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_HoojRevival_1E|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_HoojRevival_1F|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_IHate909|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_IntelliBreaks_2|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_IntelloBreaks_1|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_IntelloTek_1|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(1)|AW_130_IntroTeckie_1|25|11681|82201|1||130bpm(1)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_JunkieHardProg_2|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_JunkieHardProgged_1|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_JunkieHouse_1A|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_JunkieHouse_1B|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_JunkieHouse_1C|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_JunkieHouse_1D|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_MasterHouse_1|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_MegaHouse_1A|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_MegaHouse_1B|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_MegaHouse_1C|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_MinimalBeat_1|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_MinimalBeat_2|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_MinimalBeat_3|47|27662|82201|1||130bpm(2)
LoopMaster Airwave Triloops|130bpm(2)|AW_130_MinimalBeat_4b|47|27662|82201|1||130bpm(2)
